topic,notes
Travel Tourism,"['Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19', 'Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22', 'Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22', 'Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16', 'Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23', 'Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23', 'Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28', 'Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30', 'Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30', 'Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36', 'Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00', 'Travel and Tourism Site for New York -- Note added 6/6/13 19:12', 'Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38', 'Travel and Tourism Site for Louisiana -- Note added 6/6/13 19:40', 'Travel and Tourism Site for Massachusetts -- Note added 6/6/13 19:40', 'Travel and Tourism Site for Michigan -- Note added 6/6/13 19:41', 'Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42', 'Travel and Tourism Site for North Dakota -- Note added 6/6/13 19:42', 'Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42', 'Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44', 'Travel and Tourism Sites for Nevada -- Note added 6/6/13 19:11', 'Travel and Tourism Sites for Oklahoma -- Note added 6/6/13 19:11', 'Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09', 'Travel and Tourism Sites for South Dakota -- Note added 6/6/13 19:11', 'Travel and Tourism Sites for Texas -- Note added 6/6/13 19:11', 'Travel and Tourism Sites for Wisconsin -- Note added 6/6/13 19:11', 'Travel and Tourism Sites for Virginia -- Note added 6/6/13 19:11', 'Travel and Tourism Site for California -- Note added 8/27/13 12:59', 'Travel and Tourism Sites for Delaware -- Note added 6/6/13 19:11', 'Travel and Tourism Site for Florida -- Note added 6/6/13 19:15', 'Travel and Tourism Sites for Guam -- Note added 6/6/13 19:11', 'Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48', 'Travel and Tourism Sites for Maine -- Note added 6/6/13 19:11', 'Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17', 'Travel and Tourism Sites for Mississippi -- Note added 6/6/13 19:11', 'Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34', 'Travel and Tourism Site for Montana -- Note added 6/6/13 19:33', 'Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33', 'Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33', 'Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32', 'Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32', 'Travel and Tourism Site for Utah -- Note added 6/6/13 19:31', 'Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31', 'Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18', 'Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31']"
Tourism Site,"['Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19', 'Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22', 'Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22', 'Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16', 'Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23', 'Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23', 'Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28', 'Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30', 'Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30', 'Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36', 'Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00', 'Travel and Tourism Site for New York -- Note added 6/6/13 19:12', 'Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38', 'Travel and Tourism Site for Louisiana -- Note added 6/6/13 19:40', 'Travel and Tourism Site for Massachusetts -- Note added 6/6/13 19:40', 'Travel and Tourism Site for Michigan -- Note added 6/6/13 19:41', 'Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42', 'Travel and Tourism Site for North Dakota -- Note added 6/6/13 19:42', 'Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42', 'Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09', 'Travel and Tourism Site for California -- Note added 8/27/13 12:59', 'Travel and Tourism Site for Florida -- Note added 6/6/13 19:15', 'Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48', 'Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17', 'Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34', 'Travel and Tourism Site for Montana -- Note added 6/6/13 19:33', 'Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33', 'Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33', 'Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32', 'Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32', 'Travel and Tourism Site for Utah -- Note added 6/6/13 19:31', 'Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31', 'Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18', 'Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31']"
Travel Tourism Site,"['Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19', 'Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22', 'Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22', 'Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16', 'Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23', 'Travel and Tourism Site for Colorado -- Note added 6/6/13 19:23', 'Travel and Tourism Site for Connecticut -- Note added 6/6/13 19:28', 'Travel and Tourism Site for Ohio -- Note added 6/6/13 19:30', 'Travel and Tourism Site for South Carolina -- Note added 6/6/13 19:30', 'Travel and Tourism Site for Georgia -- Note added 6/6/13 19:36', 'Hawaii Tourism Authority, Travel and Tourism Site for Hawaii -- Note added 2/10/15 14:00', 'Travel and Tourism Site for New York -- Note added 6/6/13 19:12', 'Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38', 'Travel and Tourism Site for Louisiana -- Note added 6/6/13 19:40', 'Travel and Tourism Site for Massachusetts -- Note added 6/6/13 19:40', 'Travel and Tourism Site for Michigan -- Note added 6/6/13 19:41', 'Travel and Tourism Site for the Northern Mariana Islands -- Note added 6/6/13 19:42', 'Travel and Tourism Site for North Dakota -- Note added 6/6/13 19:42', 'Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42', 'Travel and Tourism Site for Alaska -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Iowa -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Kansas -- Note added 6/6/13 19:44', 'Travel and Tourism Site for Oregon, Oregon Tourism Commission -- Note added 7/23/14 16:09', 'Travel and Tourism Site for California -- Note added 8/27/13 12:59', 'Travel and Tourism Site for Florida -- Note added 6/6/13 19:15', 'Travel and Tourism Site for Idaho -- Note added 6/6/13 19:48', 'Travel and Tourism Site for Maryland -- Note added 6/6/13 19:17', 'Travel and Tourism Site for Missouri -- Note added 6/6/13 19:34', 'Travel and Tourism Site for Montana -- Note added 6/6/13 19:33', 'Travel and Tourism Site for North Carolina -- Note added 6/6/13 19:33', 'Travel and Tourism Site for Nebraska -- Note added 6/6/13 19:33', 'Travel and Tourism Site for Pennsylvania -- Note added 6/6/13 19:32', 'Travel and Tourism Site for Rhode Island -- Note added 6/6/13 19:32', 'Travel and Tourism Site for Utah -- Note added 6/6/13 19:31', 'Travel and Tourism Site for the District of Columbia -- Note added 6/6/13 19:31', 'Travel and Tourism Site for West Virginia -- Note added 6/6/13 19:18', 'Travel and Tourism Site for Wyoming -- Note added 6/6/13 19:31']"
See historical snapshot,"['See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38', 'North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  -- Note added 11/12/15 13:39', ""Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15"", 'NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12']"
historical snapshot at:,"['See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38', 'North Carolina Forest Action Plan See historical snapshot at: http://web.archive.org/web/20140517174935/http://ncforestassessment.com/  -- Note added 11/12/15 13:39', ""Established in 1987, the North Carolina Natural Heritage Trust Fund provided supplemental funding to select state agencies for the acquisition and protection of important natural areas, to preserve the state's ecological diversity and cultural heritage, and to inventory the natural heritage resources of the state. In July 2013, these key purposes were incorporated in the Clean Water Management Trust Fund enabling legislation and the NHTF statute was repealed. See historical snapshot at:  http://web.archive.org/web/20150129185256/http://www.ncnhtf.org/pages/aboutnhtf.htm  -- Note added 11/12/15 13:15"", 'NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12']"
Virginia Department,"['2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14', '2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17', 'Virginia Department of Motor Vehicles -- Note added 6/6/14 20:27', 'Virginia Department for Aging and Rehabilitative Services -- Note added 8/27/15 14:22', 'Virginia Department for Aging and Rehabilitative Services -- Note added 6/6/13 18:09', 'Virginia Department of Fire Programs -- Note added 6/12/13 18:15', 'Virginia Department for the Blind and Vision Impaired -- Note added 7/11/14 19:09', 'Virginia Department for the Deaf and Hard of Hearing (VDDHH) -- Note added 7/11/14 19:09', 'The Virginia Horse Industry Board is responsible for the promotion and economic development of the horse industry in Virginia and operates through the Virginia Department of Agriculture and Consumer Services. -- Note added 7/11/14 19:12', 'Virginia Department of Transportation -- Note added 7/11/14 20:18', 'West Virginia Department of Agriculture -- Note added 3/31/14 13:07', 'West Virginia Department of Commerce -- Note added 3/24/14 16:50', 'West Virginia Department of Health and Human Resources -- Note added 7/24/14 5:50', 'West Virginia Department of Commerce, Division of Labor -- Note added 7/24/14 5:52']"
New York,"['511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34', 'New York State Public Service Commission’s Consumer Web Site -- Note added 1/10/14 19:17', 'Center for Technology at the University at Albany, State University of New York -- Note added 6/29/15 15:02', 'Travel and Tourism Site for New York -- Note added 6/6/13 19:12', 'New York State Conference of Mayors and Municipal Officials (NYCOM) -- Note added 7/2/15 10:49', 'New York Historical Society Museum and Library -- Note added 7/2/15 10:50', 'New York State Council on the Arts -- Note added 7/2/15 10:51', 'New York State eGovernment listing of state agencies -- Note added 9/25/13 15:35', 'New York State Fair -- Note added 6/12/13 18:48', 'New York State Homes and Community Renewal -- Note added 9/9/15 13:48', 'New York State Local Government IT Directors Association (NYSLGITDA) -- Note added 7/2/15 10:59', 'New York State Police Recruitment Center -- Note added 1/3/14 13:14', 'Susquehanna River Basin Commission - The Susquehanna River Basin Compact, was signed into law on December 24, 1970. The Compact, as adopted by the Congress of the United States, and the legislatures of New York State, Pennsylvania and Maryland, provides the mechanism to guide the conservation, development, and administration of the water resources of the vast river basin. -- Note added 6/26/13 16:30']"
Cooperative Extension,"['Alabama Cooperative Extension System -- Note added 6/12/13 16:37', 'New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38', 'Virginia Cooperative Extension  -- Note added 6/6/14 20:29', 'New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39', 'Purdue (Indiana) Cooperative Extension -- Note added 7/19/13 13:34', 'University of Delaware Cooperative Extension Service -- Note added 6/7/13 16:52', 'University of Arkansas, Division of AgricultureResearch & Extension, University of Arkansas System Arkansas Cooperative Extension Service -- Note added 12/10/14 7:11', 'University of Alaska Fairbanks Cooperative Extension Service -- Note added 6/7/13 16:34', 'University of Wyoming Cooperative Extension Service -- Note added 7/23/14 5:39', 'University of Rhode Island Cooperative Extension -- Note added 6/7/13 18:31']"
New Mexico,"['New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38', 'New Mexico Cooperative Extension Service -- Note added 7/25/13 17:39', 'New Mexico Bureau of Geology & Mineral Resources -- Note added 7/16/14 5:13', 'Historical Society of New Mexico -- Note added 7/16/14 5:16', 'Travel and Tourism Site for New Mexico -- Note added 6/6/13 19:42', 'New Mexico Lottery -- Note added 6/12/13 14:20', 'New Mexico Environmental Public Health Tracking -- Note added 10/24/14 12:11', 'Special Supplemental Nutrition Program for New Mexico Women, Infants & Children -- Note added 1/10/14 19:17', 'New Mexico Office of the State Auditor -- Note added 7/16/14 5:38', 'State of New Mexico -- Note added 7/16/14 5:42']"
Department Public,"['Alabama Department of Public Health -- Note added 6/12/13 16:40', 'California Environmental Health Tracking Program, California Department of Public Health -- Note added 10/24/14 12:09', 'Correction Enterprises, North Carolina Department of Public Safety -- Note added 7/24/13 14:00', ' Juvenile Justice section of the N.C. Department of Public Safety, Division of Adult Correction and Juvenile Justice.  -- Note added 9/15/15 16:00', ""Governor's School of North Carolina, NC Department of Public Instruction -- Note added 6/12/13 18:35"", 'NC Physical Activity and Nutrition Branch (NC PAN), NC Department of Public Health See historical snapshot at: http://web.archive.org/web/20130128034822/http://www.ncpanbranch.com/  -- Note added 11/12/15 13:12', 'North Carolina Sickle Cell Syndrome Program, NC Department of Public Health -- Note added 11/12/15 13:09', 'The North Carolina State Improvement Project (NC SIP ). NC SIP is a program in the Exceptional Children Division of the North Carolina Department of Public Instruction (NC DPI). -- Note added 9/15/15 17:19', 'Ready NC, NC Department of Public Safety -- Note added 1/14/14 14:35', 'School Planning Section, North Carolina Department of Public Instruction -- Note added 8/25/14 15:01']"
